Ticker,Year,Strategy,Return,Sharpe,MaxDD,Trades,WinRate
NVDA,2022,Adaptive,-27.79919264172434,-1.272561002781883,-40.398532206176085,23,52.17391304347826
NVDA,2022,Swarm,-17.143994356154106,-0.780817041191283,-27.9483450078865,12,41.66666666666667
NVDA,2023,Adaptive,9.171977838761414,0.26065134401624074,-21.75208228463252,11,45.45454545454545
NVDA,2023,Swarm,26.48496642879729,0.6148862188504342,-18.014629786934112,11,36.36363636363637
AAPL,2022,Adaptive,-21.277360639957887,-1.5689829867291425,-29.394699758315234,19,63.1578947368421
AAPL,2022,Swarm,-16.12178994932594,-1.037022855970601,-22.010149416626046,7,14.285714285714285
AAPL,2023,Adaptive,-0.9326534168100988,-0.07494197047150991,-10.66645167598763,24,50.0
AAPL,2023,Swarm,12.23596690526816,0.8276225762977749,-12.415173767508369,3,33.33333333333333
SPY,2022,Adaptive,-5.44256021967165,-0.4224238974463968,-12.985972855670047,16,50.0
SPY,2022,Swarm,-7.892073666352663,-0.6507980883506918,-14.177477992899934,6,33.33333333333333
SPY,2023,Adaptive,7.281341234021512,0.9644839556954289,-5.247525790559838,15,73.33333333333333
SPY,2023,Swarm,13.314071668267587,1.5777981020175889,-6.359890406577861,4,50.0
